Year,Site,Date,Tag,N.Stems,max.height,stem.index,stem.height,notes,obs.dis
2020,BT,6/24/2020,106,54,44,P,31,,
2020,BT,6/24/2020,106,54,44,O,29,,
2020,BT,6/24/2020,106,54,44,G,35,,
2020,BT,7/1/2020,106,43,35,P,32,became diseased 7/8/20,
2020,BT,7/1/2020,106,43,35,O,29,became diseased 7/8/21,
2020,BT,7/1/2020,106,43,35,G,40,became diseased 7/8/22,
2020,BT,6/24/2020,107,12,34,P,26,,
2020,BT,6/24/2020,107,12,34,O,19,,
2020,BT,6/24/2020,107,12,34,G,34,,
2020,BT,7/1/2020,107,13,35,P,29,,
2020,BT,7/1/2020,107,13,35,O,23,,
2020,BT,7/1/2020,107,13,35,G,36,,
2020,BT,7/8/2020,107,13,36.5,P,31.5,,
2020,BT,7/8/2020,107,13,36.5,O,24.5,,
2020,BT,7/8/2020,107,13,36.5,G,36.5,,
2020,BT,7/16/2020,107,13,37,P,31.5,,
2020,BT,7/16/2020,107,13,37,O,25,,
2020,BT,7/16/2020,107,13,37,G,37,,
2020,BT,6/24/2020,108,19,48,P,36,,
2020,BT,6/24/2020,108,19,48,O,29,,
2020,BT,6/24/2020,108,19,48,G,23,,
2020,BT,7/1/2020,108,21,35,P,36,,
2020,BT,7/1/2020,108,21,35,O,34,,
2020,BT,7/1/2020,108,21,35,G,22,,
2020,BT,7/8/2020,108,20,52,P,36,toppled,
2020,BT,7/8/2020,108,20,52,O,36,,
2020,BT,7/8/2020,108,20,52,G,23.5,,
2020,BT,7/16/2020,108,18,51.5,P,30.5,"toppled, stem fell off",
2020,BT,7/16/2020,108,18,51.5,O,39.5,,
2020,BT,7/16/2020,108,18,51.5,G,45,,
2020,BT,7/16/2020,108,18,51.5,P2,43,,
2020,BT,7/22/2020,108,18,51.5,P2,42,"someone sat on it, lots of snapped stems",
2020,BT,7/22/2020,108,18,51.5,O,35.5,"someone sat on it, lots of snapped stems",
2020,BT,7/22/2020,108,18,51.5,G,23.5,"someone sat on it, lots of snapped stems",
2020,BT,7/22/2020,111,18,34,P2,23,,
2020,BT,7/22/2020,111,18,34,O,27,,
2020,BT,7/22/2020,111,18,34,G,27,,
2020,BT,7/1/2020,113,4,35,P,15,,
2020,BT,7/1/2020,113,4,35,O,23,,
2020,BT,7/1/2020,113,4,35,G,19,,
2020,BT,7/8/2020,113,3,24,P,15.5,,
2020,BT,7/8/2020,113,3,24,O,24,,
2020,BT,7/8/2020,113,3,24,G,20,,
2020,BT,7/16/2020,113,3,24,P,15,,
2020,BT,7/16/2020,113,3,24,O,24,,
2020,BT,7/16/2020,113,3,24,G,20.5,,
2020,BT,6/24/2020,117,5,19,P,16,,
2020,BT,6/24/2020,117,5,19,O,19,,
2020,BT,6/24/2020,117,5,19,G,18,,
2020,BT,7/22/2020,137,37,55,P,56,,
2020,BT,7/22/2020,137,37,55,O,25,,
2020,BT,7/22/2020,137,37,55,G,47,,
2020,BT,7/29/2020,137,34,52,P,28,,
2020,BT,7/29/2020,137,34,52,O,48,,
2020,BT,7/29/2020,137,34,52,G,51,,
2020,BT,6/24/2020,147,10,28,P,27,,
2020,BT,6/24/2020,147,10,28,O,24,,
2020,BT,6/24/2020,147,10,28,G,21,,
2020,BT,7/1/2020,147,8,35,P,28,,
2020,BT,7/1/2020,147,8,35,O,25,,
2020,BT,7/1/2020,147,8,35,G,23,,
2020,BT,7/8/2020,147,10,29,P,28,,
2020,BT,7/8/2020,147,10,29,O,24.5,,
2020,BT,7/8/2020,147,10,29,G,24,,
2020,BT,7/16/2020,147,8,29,P,28.5,observed D 7/22/2020,
2020,BT,7/16/2020,147,8,29,O,24.5,observed D 7/22/2020,
2020,BT,7/16/2020,147,8,29,G,23.5,observed D 7/22/2020,
2020,BT,6/24/2020,155,34,48,P,39,,
2020,BT,6/24/2020,155,34,48,O,47,,
2020,BT,6/24/2020,155,34,48,G,36,,
2020,BT,7/1/2020,155,35,35,P,40,,
2020,BT,7/1/2020,155,35,35,O,48,,
2020,BT,7/1/2020,155,35,35,G,46,,
2020,BT,7/8/2020,155,31,50,P,43.5,lots of dead stems not counted,
2020,BT,7/8/2020,155,31,50,O,50,lots of dead stems not counted,
2020,BT,7/8/2020,155,31,50,G,37,lots of dead stems not counted,
2020,BT,7/16/2020,155,30,51,P,42,,
2020,BT,7/16/2020,155,30,51,O,51,toppled,
2020,BT,7/16/2020,155,30,51,G,37.5,,
2020,BT,6/24/2020,160,19,30,P,26,,
2020,BT,6/24/2020,160,19,30,O,25,,
2020,BT,6/24/2020,160,19,30,G,23,,
2020,BT,7/1/2020,163,32,35,P,35,,
2020,BT,7/1/2020,163,32,35,O,32,,
2020,BT,7/1/2020,163,32,35,G,44,,
2020,BT,6/24/2020,215,16,43,P,30,obs D on 7/1,
2020,BT,6/24/2020,215,16,43,O,36,obs D on 7/1,
2020,BT,6/24/2020,215,16,43,G,23,obs D on 7/1,
2020,BT,7/1/2020,332,9,35,P,24,,
2020,BT,7/1/2020,332,9,35,O,11,,
2020,BT,7/1/2020,332,9,35,G,27,,
2020,BT,7/8/2020,332,12,32,P,25,,
2020,BT,7/8/2020,332,12,32,O,24,,
2020,BT,7/8/2020,332,12,32,G,30,,
2020,BT,7/16/2020,332,9,34.5,P,24.5,,
2020,BT,7/16/2020,332,9,34.5,O,24.5,,
2020,BT,7/16/2020,332,9,34.5,G,29.5,,
2020,BT,7/22/2020,332,10,34,P,24.5,,
2020,BT,7/22/2020,332,10,34,O,25,,
2020,BT,7/22/2020,332,10,34,G,31,,
2020,BT,7/29/2020,332,12,34.5,P,25.5,1 tiny stem,
2020,BT,7/29/2020,332,12,34.5,O,25.5,1 tiny stem,
2020,BT,7/29/2020,332,12,34.5,G,22,1 tiny stem,
2020,BT,6/24/2020,352,14,31,P,22,,
2020,BT,6/24/2020,352,14,31,O,21,,
2020,BT,6/24/2020,352,14,31,G,28,,
2020,BT,6/24/2020,458,9,32,P,21,,
2020,BT,6/24/2020,458,9,32,O,32,,
2020,BT,6/24/2020,458,9,32,G,22,,
2020,BT,7/1/2020,458,7,35,P,26,,
2020,BT,7/1/2020,458,7,35,O,36,,
2020,BT,7/1/2020,458,7,35,G,25,,
2020,BT,7/8/2020,458,7,37,P,27,2 stems eaten,
2020,BT,7/8/2020,458,7,37,O,37,,
2020,BT,7/8/2020,458,7,37,G,27,,
2020,BT,6/24/2020,459,5,36,P,27,,
2020,BT,6/24/2020,459,5,36,O,32,,
2020,BT,6/24/2020,459,5,36,G,36,,
2020,BT,7/1/2020,459,6,35,P,36,,
2020,BT,7/1/2020,459,6,35,O,30,,
2020,BT,7/1/2020,459,6,35,G,38,,
2020,BT,7/8/2020,459,5,38.5,P,37,,
2020,BT,7/8/2020,459,5,38.5,O,31,,
2020,BT,7/8/2020,459,5,38.5,G,38.5,,
2020,BT,7/16/2020,459,7,39,P,36,,
2020,BT,7/16/2020,459,7,39,O,30,,
2020,BT,7/16/2020,459,7,39,G,39,,
2020,BT,7/22/2020,459,12,39,P,36.5,lots of tiny stems,
2020,BT,7/22/2020,459,12,39,O,31,lots of tiny stems,
2020,BT,7/22/2020,459,12,39,G,39,lots of tiny stems,
2020,BT,7/29/2020,459,11,38.5,P,37,lots of little stems,
2020,BT,7/29/2020,459,11,38.5,O,31,lots of little stems,
2020,BT,7/29/2020,459,11,38.5,G,38.5,lots of little stems,
2020,BT,7/1/2020,460,18,35,P,26,,
2020,BT,7/1/2020,460,18,35,O,25,,
2020,BT,7/1/2020,460,18,35,G,26,,
2020,BT,7/8/2020,460,20,31.5,P,28,,
2020,BT,7/8/2020,460,20,31.5,O,27,,
2020,BT,7/8/2020,460,20,31.5,G,27,,
2020,BT,6/24/2020,461,5,37,P,34,,
2020,BT,6/24/2020,461,5,37,O,37,,
2020,BT,6/24/2020,461,5,37,G,37,,
2020,BT,7/1/2020,461,4,35,P,36,,
2020,BT,7/1/2020,461,4,35,O,39,,
2020,BT,7/1/2020,461,4,35,G,38,,
2020,BT,7/8/2020,461,4,41,P,38,,
2020,BT,7/8/2020,461,4,41,O,41,,
2020,BT,7/8/2020,461,4,41,G,41,,
2020,BT,7/16/2020,461,5,42,P,36.5,,
2020,BT,7/16/2020,461,5,42,O,42,,
2020,BT,7/16/2020,461,5,42,G,40.5,,
2020,BT,6/24/2020,462,14,43,P,27,,
2020,BT,6/24/2020,462,14,43,O,43,,
2020,BT,6/24/2020,462,14,43,G,28,,
2020,BT,7/1/2020,462,15,35,P,32,,
2020,BT,7/1/2020,462,15,35,O,45,,
2020,BT,7/1/2020,462,15,35,G,30,,
2020,BT,7/8/2020,462,16,45,P,35,,
2020,BT,7/8/2020,462,16,45,O,45,,
2020,BT,7/8/2020,462,16,45,G,33,,
2020,BT,7/16/2020,462,15,46.5,P,36,,
2020,BT,7/16/2020,462,15,46.5,O,45.5,,
2020,BT,7/16/2020,462,15,46.5,G,32.5,,
2020,BT,7/22/2020,462,15,45,P,35.5,,
2020,BT,7/22/2020,462,15,45,O,45,,
2020,BT,7/22/2020,462,15,45,G,33,,
2020,BT,7/29/2020,462,15,46,P,36.5,,
2020,BT,7/29/2020,462,15,46,O,46,,
2020,BT,7/29/2020,462,15,46,G,33.5,,
2020,BT,6/24/2020,463,31,43,P,35,,
2020,BT,6/24/2020,463,31,43,O,34,,
2020,BT,6/24/2020,463,31,43,G,43,,
2020,BT,7/8/2020,463,33,43.5,P,36,lots of stems eaten,
2020,BT,7/8/2020,463,33,43.5,O,33,eaten,
2020,BT,7/8/2020,463,33,43.5,G,43.5,lots of stems eaten,
2020,BT,7/16/2020,463,22,47.5,P,37.5,,
2020,BT,7/16/2020,463,22,47.5,O,33,chomped,
2020,BT,7/16/2020,463,22,47.5,G,44,,
2020,BT,7/22/2020,463,22,44,P,37,obs D on 7/29/2020,
2020,BT,7/22/2020,463,22,44,O,33,"chomped, obs D on 7/29/2020",
2020,BT,7/22/2020,463,22,44,G,44,obs D on 7/29/2020,
2020,BT,6/24/2020,464,30,38,P,37,,
2020,BT,6/24/2020,464,30,38,O,33,,
2020,BT,6/24/2020,464,30,38,G,36,,
2020,BT,7/1/2020,464,32,35,P,39,,
2020,BT,7/1/2020,464,32,35,O,35,,
2020,BT,7/1/2020,464,32,35,G,39,,
2020,BT,7/8/2020,464,33,41.5,P,41.5,,
2020,BT,7/8/2020,464,33,41.5,O,36,,
2020,BT,7/8/2020,464,33,41.5,G,39.5,,
2020,BT,7/16/2020,464,34,43.5,P,42.5,D on 7/22/2020,
2020,BT,7/16/2020,464,34,43.5,O,36.5,D on 7/22/2020,
2020,BT,7/16/2020,464,34,43.5,G,40.5,D on 7/22/2020,
2020,BT,6/24/2020,465,24,40,P,28,,
2020,BT,6/24/2020,465,24,40,O,21,,
2020,BT,6/24/2020,465,24,40,G,27,,
2020,BT,7/1/2020,465,22,35,P,31,,
2020,BT,7/1/2020,465,22,35,O,32,,
2020,BT,7/1/2020,465,22,35,G,39,,
2020,BT,7/8/2020,465,20,43.5,P,31.5,,
2020,BT,7/8/2020,465,20,43.5,O,32,,
2020,BT,7/8/2020,465,20,43.5,G,41,,
2020,BT,7/16/2020,465,20,45.5,P,34,D on 7/22/2020,
2020,BT,7/16/2020,465,20,45.5,O,34.5,D on 7/22/2020,
2020,BT,7/16/2020,465,20,45.5,G,43,D on 7/22/2020,
2020,BT,7/22/2020,605,5,39,P,39,,
2020,BT,7/22/2020,605,5,39,O,27,,
2020,BT,7/22/2020,605,5,39,G,32,,
2020,BT,7/29/2020,605,5,39,P,39,,
2020,BT,7/29/2020,605,5,39,O,26.5,chomped,
2020,BT,7/29/2020,605,5,39,G,33,,
2020,BT,7/22/2020,606,3,36,P,36,,
2020,BT,7/22/2020,606,3,36,O,32,,
2020,BT,7/22/2020,606,3,36,G,26,,
2020,BT,7/29/2020,606,3,,P,36.5,hight not recorded,
2020,BT,7/29/2020,606,3,,O,32,hight not recorded,
2020,BT,7/29/2020,606,3,,G,27,hight not recorded,
2020,BT,7/22/2020,607,13,39,P,37.5,,
2020,BT,7/22/2020,607,13,39,O,19.5,,
2020,BT,7/22/2020,607,13,39,G,35,,
2020,BT,7/29/2020,607,12,38.5,P,37.5,,
2020,BT,7/29/2020,607,12,38.5,O,20,,
2020,BT,7/29/2020,607,12,38.5,G,35,,
2020,BT,7/22/2020,608,9,23,P,22.5,,
2020,BT,7/22/2020,608,9,23,O,11,,
2020,BT,7/22/2020,608,9,23,G,23,,
2020,BT,7/22/2020,611,7,19,P,19,,
2020,BT,7/22/2020,611,7,19,O,16,,
2020,BT,7/22/2020,611,7,19,G,14.5,,
2020,BT,7/29/2020,611,7,21,P,21,,
2020,BT,7/29/2020,611,7,21,O,18,,
2020,BT,7/29/2020,611,7,21,G,16.5,,
2020,BT,7/22/2020,612,6,27.5,P,27.5,,
2020,BT,7/22/2020,612,6,27.5,O,27,,
2020,BT,7/22/2020,612,6,27.5,G,19.5,,
2020,BT,7/29/2020,612,7,29.5,P,29.5,,
2020,BT,7/29/2020,612,7,29.5,O,29.5,,
2020,BT,7/29/2020,612,7,29.5,G,21.5,,
2020,BT,6/24/2020,922,6,40,P,40,,
2020,BT,6/24/2020,922,6,40,O,33,,
2020,BT,6/24/2020,922,6,40,G,29,,
2020,BT,7/1/2020,922,6,35,P,42.5,,
2020,BT,7/1/2020,922,6,35,O,35,,
2020,BT,7/1/2020,922,6,35,G,30,,
2020,BT,7/8/2020,922,6,44,P,43,,
2020,BT,7/8/2020,922,6,44,O,37.5,,
2020,BT,7/8/2020,922,6,44,G,32.5,,
2020,BT,7/16/2020,922,6,43.5,P,43,D on 7/22/2020,
2020,BT,7/16/2020,922,6,43.5,O,37,D on 7/22/2020,
2020,BT,7/16/2020,922,6,43.5,G,32,D on 7/22/2020,
2020,BT,6/24/2020,925,12,43,P,33,,
2020,BT,6/24/2020,925,12,43,O,34,,
2020,BT,6/24/2020,925,12,43,G,43,,
2020,BT,7/1/2020,925,11,35,P,33,,
2020,BT,7/1/2020,925,11,35,O,34,,
2020,BT,7/1/2020,925,11,35,G,44,,
2020,BT,7/8/2020,925,12,45,P,34.5,2 stems tiny,
2020,BT,7/8/2020,925,12,45,O,35,,
2020,BT,7/8/2020,925,12,45,G,45,,
2020,BT,7/16/2020,925,10,41.5,P,34,,
2020,BT,7/16/2020,925,10,41.5,O,35,,
2020,BT,7/16/2020,925,10,41.5,G,41.5,,
2020,BT,7/22/2020,925,10,42,P,34,two tiny stems,
2020,BT,7/22/2020,925,10,42,O,34.5,,
2020,BT,7/22/2020,925,10,42,G,31.5,top snapped,
2020,BT,7/29/2020,925,11,41.5,P,34,3 tiny stems,
2020,BT,7/29/2020,925,11,41.5,O,35,,
2020,BT,7/29/2020,925,11,41.5,G,35,chomped,
2020,BT,7/1/2020,955,5,35,P,36,newly tagged,
2020,BT,7/1/2020,955,5,35,O,42,newly tagged,
2020,BT,7/1/2020,955,5,35,G,37.5,newly tagged,
2020,BT,7/8/2020,955,5,45,P,37.5,,
2020,BT,7/8/2020,955,5,45,O,42,,
2020,BT,7/8/2020,955,5,45,G,38.5,,
2020,BT,7/16/2020,955,4,44,P,37,,
2020,BT,7/16/2020,955,4,44,O,43,,
2020,BT,7/16/2020,955,4,44,G,39,,
2020,BT,7/22/2020,955,4,44,P,37,,
2020,BT,7/22/2020,955,4,44,O,42.5,,
2020,BT,7/22/2020,955,4,44,G,38.5,,
2020,BT,7/29/2020,955,4,43.5,P,36.5,,
2020,BT,7/29/2020,955,4,43.5,O,42.5,,
2020,BT,7/29/2020,955,4,43.5,G,39,,
2020,BT,7/1/2020,956,16,35,P,32,newly tagged,
2020,BT,7/1/2020,956,16,35,O,27,newly tagged,
2020,BT,7/1/2020,956,16,35,G,21,newly tagged,
2020,BT,7/8/2020,956,15,33.5,P,31,,
2020,BT,7/8/2020,956,15,33.5,O,28.5,,
2020,BT,7/8/2020,956,15,33.5,G,21,,
2020,BT,7/16/2020,956,15,33,P,33,,
2020,BT,7/16/2020,956,15,33,O,27.5,,
2020,BT,7/16/2020,956,15,33,G,20.5,,
2020,BT,7/1/2020,957,12,35,P,15,newly tagged,
2020,BT,7/1/2020,957,12,35,O,37,newly tagged,
2020,BT,7/1/2020,957,12,35,G,35,newly tagged,
2020,BT,7/8/2020,957,12,38,P,14.5,,
2020,BT,7/8/2020,957,12,38,O,38,,
2020,BT,7/8/2020,957,12,38,G,34,,
2020,BT,7/16/2020,957,11,37.5,P,15.5,observed D 7/22/2020,
2020,BT,7/16/2020,957,11,37.5,O,37.5,"toppled, observed D 7/22/2020",
2020,BT,7/16/2020,957,11,37.5,G,34,observed D 7/22/2020,
2020,BT,7/1/2020,958,10,35,P,11,newly tagged,
2020,BT,7/1/2020,958,10,35,O,30,newly tagged,
2020,BT,7/1/2020,958,10,35,G,18,newly tagged,
2020,BT,7/8/2020,958,10,32,P,13,,
2020,BT,7/8/2020,958,10,32,O,29,,
2020,BT,7/8/2020,958,10,32,G,16.5,,
2020,BT,7/16/2020,958,10,31,P,13,,
2020,BT,7/16/2020,958,10,31,O,28,,
2020,BT,7/16/2020,958,10,31,G,18.5,,
2020,BT,7/22/2020,958,10,28,P,12.5,,
2020,BT,7/22/2020,958,10,28,O,27.5,,
2020,BT,7/22/2020,958,10,28,G,16.5,,
2020,BT,7/29/2020,958,9,27.5,P,12,,
2020,BT,7/29/2020,958,9,27.5,O,27.5,,
2020,BT,7/29/2020,958,9,27.5,G,17,,
2020,BT,7/1/2020,959,11,35,P,33.5,newly tagged,
2020,BT,7/1/2020,959,11,35,O,49,newly tagged,
2020,BT,7/1/2020,959,11,35,G,43,newly tagged,
2020,BT,7/8/2020,959,10,49,P,35,previous H focal,
2020,BT,7/8/2020,959,10,49,O,49,previous H focal,
2020,BT,7/8/2020,959,10,49,G,44,previous H focal,
2020,BT,7/1/2020,960,10,35,P,25,newly tagged,
2020,BT,7/1/2020,960,10,35,O,44,newly tagged,
2020,BT,7/1/2020,960,10,35,G,32,newly tagged,
2020,BT,7/8/2020,960,10,42.5,P,25.5,,
2020,BT,7/8/2020,960,10,42.5,O,42,,
2020,BT,7/8/2020,960,10,42.5,G,32.5,,
2020,BT,7/16/2020,960,10,44,P,26,,
2020,BT,7/16/2020,960,10,44,O,44,,
2020,BT,7/16/2020,960,10,44,G,36.5,,
2020,BT,7/22/2020,960,10,42,P,26.5,,
2020,BT,7/22/2020,960,10,42,O,44.5,,
2020,BT,7/22/2020,960,10,42,G,33,,
2020,BT,7/1/2020,962,11,35,P,24,newly tagged,
2020,BT,7/1/2020,962,11,35,O,32,newly tagged,
2020,BT,7/1/2020,962,11,35,G,19,newly tagged,
2020,BT,7/8/2020,962,9,40,P,26,,
2020,BT,7/8/2020,962,9,40,O,33,,
2020,BT,7/8/2020,962,9,40,G,19,,
2020,BT,7/16/2020,962,9,41.5,P,26,,
2020,BT,7/16/2020,962,9,41.5,O,33,,
2020,BT,7/16/2020,962,9,41.5,G,19.5,,
2020,BT,7/22/2020,962,8,41,P,26,,
2020,BT,7/22/2020,962,8,41,O,33,,
2020,BT,7/22/2020,962,8,41,G,19,,
2020,BT,7/29/2020,962,8,41,P,26,,
2020,BT,7/29/2020,962,8,41,O,34,,
2020,BT,7/29/2020,962,8,41,G,20,,
2020,BT,7/1/2020,963,7,35,P,27,newly tagged,
2020,BT,7/1/2020,963,7,35,O,33,newly tagged,
2020,BT,7/1/2020,963,7,35,G,36,newly tagged,
2020,BT,7/8/2020,963,7,36.5,P,27.5,,
2020,BT,7/8/2020,963,7,36.5,O,33,,
2020,BT,7/8/2020,963,7,36.5,G,35,,
2020,BT,7/16/2020,963,7,36.5,P,27.5,observed D 7/22/2020,
2020,BT,7/16/2020,963,7,36.5,O,33,observed D 7/22/2020,
2020,BT,7/16/2020,963,7,36.5,G,35,observed D 7/22/2020,
2020,BT,7/8/2020,971,15,48,P,36,,
2020,BT,7/8/2020,971,15,48,O,44,,
2020,BT,7/8/2020,971,15,48,G,46.5,,
2020,BT,7/16/2020,971,13,47,P,34.5,,
2020,BT,7/16/2020,971,13,47,O,44.5,,
2020,BT,7/16/2020,971,13,47,G,47,,
2020,BT,7/22/2020,971,17,49,P,35,2 tiny stems,
2020,BT,7/22/2020,971,17,49,O,35,2 tiny stems,
2020,BT,7/22/2020,971,17,49,G,47.5,2 tiny stems,
